Source,Target,Weight,Type
Ball State,Northern Illinois,12,Directed
Buffalo,Miami (OH),12,Directed
California,Oregon State,12,Directed
Kansas,Kansas State,12,Directed
Arizona,USC,11,Directed
Indiana,Michigan State,11,Directed
Indiana,Penn State,11,Directed
Kansas,Iowa State,11,Directed
Kent State,Miami (OH),11,Directed
Ball State,Toledo,10,Directed
Hawaii,Nevada,10,Directed
Iowa State,Kansas State,10,Directed
Arizona,Oregon State,9,Directed
Arizona,Washington,9,Directed
Buffalo,Northern Illinois,9,Directed
Eastern Michigan,Toledo,9,Directed
Hawaii,Boise State,9,Directed
Illinois,Wisconsin,9,Directed
Indiana,Wisconsin,9,Directed
Kansas,Baylor,9,Directed
Kent State,Buffalo,9,Directed
Kent State,Ohio,9,Directed
Memphis,UCF,9,Directed
NC State,Clemson,9,Directed
Nevada,Boise State,9,Directed
SMU,Navy,9,Directed
Tulsa,SMU,9,Directed
Virginia,Georgia Tech,9,Directed
Baylor, Oklahoma,8,Directed
Bowling Green,Toledo,8,Directed
Buffalo,Ohio,8,Directed
California,USC,8,Directed
California,Washington,8,Directed
Central Michigan,Toledo,8,Directed
Duke,Georgia Tech,8,Directed
Eastern Michigan,Northern Illinois,8,Directed
Fresno State,Boise State,8,Directed
Georgia Tech,Clemson,8,Directed
Illinois,Northwestern,8,Directed
Indiana,Northwestern,8,Directed
Kent State,Northern Illinois,8,Directed
Louisiana Tech,Boise State,8,Directed
Miami (OH),Marshall,8,Directed
Miami (OH),Ohio,8,Directed
Minnesota,Wisconsin,8,Directed
New Mexico,BYU,8,Directed
Northern Arizona,Arizona,8,Directed
Northern Illinois,Toledo,8,Directed
Ohio,Buffalo,8,Directed
Oregon State,Washington,8,Directed
San Jose State,Nevada,8,Directed
Toledo,Northern Illinois,8,Directed
UNLV,San Diego State,8,Directed
Wake Forest,Clemson,8,Directed
Wake Forest,Florida State,8,Directed
Western Michigan,Northern Illinois,8,Directed
Arizona,UCLA,7,Directed
Arizona State,USC,7,Directed
Arkansas,Alabama,7,Directed
Arkansas State,Louisiana,7,Directed
Baylor,Iowa State,7,Directed
Baylor,Oklahoma,7,Directed
Baylor,Texas A&M,7,Directed
BYU,Boise State,7,Directed
California,Arizona,7,Directed
California,UCLA,7,Directed
Central Michigan,Northern Illinois,7,Directed
Duke,Virginia,7,Directed
Florida Atlantic,Middle Tennessee,7,Directed
Idaho,Washington,7,Directed
Illinois, Ohio State,7,Directed
Illinois,Indiana,7,Directed
Illinois,Penn State,7,Directed
Indiana,Illinois,7,Directed
Kansas,Nebraska,7,Directed
Kansas State, Oklahoma,7,Directed
Kent State,Bowling Green,7,Directed
Marshall,Southern Miss,7,Directed
Marshall,UCF,7,Directed
Memphis,Ole Miss,7,Directed
Miami (OH),Buffalo,7,Directed
Miami (OH),Kent State,7,Directed
Navy,Notre Dame,7,Directed
NC State,Boston College,7,Directed
NC State,Florida State,7,Directed
Nevada,Hawaii,7,Directed
New Mexico,San Diego State,7,Directed
New Mexico State,UTEP,7,Directed
Ohio,Kent State,7,Directed
Ole Miss,Arkansas,7,Directed
Oregon State,UCLA,7,Directed
Oregon State,USC,7,Directed
Rutgers,West Virginia,7,Directed
San Diego State,BYU,7,Directed
San Diego State,New Mexico,7,Directed
SMU,Memphis,7,Directed
