Id,Name
1,Southwest Missouri State
2,Boise State
3,Alabama
4,Arkansas
5,Louisiana–Monroe
6, LSU
7,UNLV
8,Weber State
9, South Carolina
10, Auburn
11,UCF
12,Mississippi State
13,South Florida
14,Ole Miss
15,Troy State
16,Louisiana–Lafayette
17,Tulsa
18,North Texas
19,South Carolina
20,New Mexico State
21,Louisiana-Monroe
22,Missouri State
23,Utah State
24,SE Missouri State
25, Tennessee
26,Troy
27,Chattanooga
28,FIU
29,Western Illinois
30, Tulsa
31,LSU
32,Eastern Michigan
33,Tennessee Tech
34,Vanderbilt
35,UTEP
36,New Mexico
37,Tennessee
38, (FCS) Jacksonville State
39,Kentucky
40,Samford
41,Southern Miss
42,Nicholls State
43,Northern Illinois
44,UAB
45, Ole Miss
46,Auburn
47,Tennessee–Martin
48,Louisiana Tech
49,Texas State
50,Alcorn State
51, Ole Miss†
52, Florida
53,Florida A&M
54,Coastal Carolina
55,Eastern Illinois
56,Baylor
57,Arkansas State
58,Southern Illinois
59,Kansas
60,SMU
61,Sam Houston State
62,Colorado
63, Texas A&M
64,Oklahoma State
65,Northwestern State
66,Kansas State
67,Rice
68,Washington State
69,Iowa State
70,Texas A&M
71,Kent State
72,Buffalo
73, TCU
74, (FCS) Stephen F. Austin
75,Missouri
76, Oklahoma
77, Texas
78, (FCS) Sam Houston State
79, Kansas State
80, Oklahoma State
81, (FCS) Wofford
82,West Virginia
83,Lamar
84,Abilene Christian
85,Northern Iowa
86,Eastern Washington
87,Idaho
88,Nevada
89,San Jose State
90,Central Michigan
91,Hawaii
92,Fresno State
93,Idaho State
94,Wyoming
95,Oregon State
96,BYU
97,Bowling Green
98,Portland State
99,Sacramento State
100, Oregon
101,Miami (OH)
102,UC Davis
103,Toledo
104,Air Force
105,Colorado State
106,UT Martin
107,San Diego State
108,Washington
109,UConn
110, Fresno State
111, Utah State
112,Tulane
113,Utah
114,Syracuse
115,Georgia Tech
116,Notre Dame
117,Arizona
118,TCU
119,UCLA
120, Utah
121,Middle Tennessee
122,Houston
123,Virginia
124,Savannah State
125, Boise State
126,East Carolina
127,Cincinnati
128,Wagner
129,Southern Utah
130,UMass
131, (FCS) McNeese State
132,The Citadel
133,Wake Forest
134,NC State
135,Maryland
136,Clemson
137,Wofford
138,Duke
139,Ball State
140,Furman
141,Middle Tennessee State
142, Virginia
143,North Carolina
144, Florida State
145,Temple
146,Florida Atlantic
147, Georgia Tech
148,Florida State
149,South Carolina State
150,Virginia Tech
151, Georgia
152,Louisville
153,Georgia State
154,Appalachian State
155, (FCS) Furman
156,Georgia Southern
157, NC State
158, Nebraska
159,Texas Tech
160, Missouri
161, West Virginia
162, Kansas
163,Hawai'i
164,Georgia
165, (FCS) Central Arkansas
166,Charleston Southern
167,California
168,Massachusetts
169,Arizona State
170, Washington State
171,Northern Colorado
172,New Hampshire
173, Clemson
174, Maryland
175, Miami (FL)
176,Western Michigan
177,Western Carolina
178,Jacksonville State
179,Boston College
180,Florida
181,Miami (FL)
182,Murray State
183, (FCS) Bethune–Cookman
184, (FCS) Chattanooga
185, (FCS) Charleston Southern
186,Delaware State
187, (FCS) Samford
188, Boston College
189,Navy
190, North Carolina
191,Connecticut
192,Miami
193,Army
194,Gardner-Webb
195, Virginia Tech
196,Presbyterian
197,Elon
198,Pittsburgh
199,Alabama A&M
200,Mercer
201,Indiana
202,Northwestern
203,Purdue
204,William & Mary
205, Wisconsin
206,Indiana State
207,Illinois
208, Minnesota
209, Iowa
210,Michigan State
211,Akron
212,Minnesota
213,Western Kentucky
214,Eastern Kentucky
215,Towson
216, (FCS) South Carolina State
217, (FCS) Indiana State
218,Iowa
219,Penn State
220,WKU
221, Michigan State
222,Rutgers
223,Ohio
224,Nebraska
225,Illinois State
226, Colorado
227,South Dakota State
228,North Dakota State
229, (FCS) Northern Iowa
230,Texas
231,Drake
232, (I-AA) Western Kentucky
233, USC
234, Iowa State
235,McNeese State
236,Marshall
