"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","text_col","numeric_col","grass","draw_cat","nameAna"
"1","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,1,201468,NA,"Q","yaroslava shvedova","R",180,"KAZ",27.3155373032,66,782,201513,NA,"","Sabine Lisicki","R",178,"GER",25.28678987,27,1681,"0-6 7-5 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"2","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,2,200002,NA,"","mirjana lucic","R",NA,"CRO",32.8268309377,60,867,201539,NA,"","Christina Mchale","R",170,"USA",22.6529774127,51,1015,"6-3 6-0",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"3","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,3,201521,7,"","carla suarez navarro","R",162,"ESP",26.3381245722,17,2415,201450,NA,"","Tsvetana Pironkova","R",180,"BUL",27.3127994524,37,1276,"3-6 6-2 6-1",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"4","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,4,201493,3,"","angelique kerber","L",173,"GER",26.9650924025,9,3480,201614,NA,"","Caroline Garcia","R",NA,"FRA",21.2210814511,36,1341,"6-4 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"5","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,5,201611,NA,"Q","daria gavrilova","R",NA,"RUS",20.8377823409,231,201,201590,NA,"","Alison Riske","U",NA,"USA",24.5092402464,43,1175,"7-5 6-3",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"6","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,6,202494,NA,"","elina svitolina","R",174,"UKR",20.3148528405,28,1655,201517,NA,"","Magdalena Rybarikova","R",180,"SVK",26.2532511978,48,1046,"6-0 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"7","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,7,201548,NA,"WC","ajla tomljanovic","R",NA,"CRO",21.6646132786,63,840,201347,6,"","Jelena Jankovic","R",177,"SRB",29.8507871321,16,2590,"7-6(6) 6-0",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"8","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,8,201485,NA,"LL","alla kudryavtseva","R",NA,"RUS",27.1731690623,100,576,201318,NA,"","Bethanie Mattek Sands","R",168,"USA",29.787816564,177,293,"6-4 6-2",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"9","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,9,201662,NA,"","karolina pliskova","R",184,"CZE",22.7926078029,23,1830,201458,NA,"","Victoria Azarenka","R",180,"BLR",25.4318959617,42,1187,"4-6 7-6(7) 6-4",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
"10","2015-W-PR-AUS-01A-2015","Brisbane International","Hard",30,"P",20150105,10,201478,NA,"","varvara lepchenko","L",180,"USA",28.6269678303,34,1350,201325,NA,"","Samantha Stosur","R",172,"AUS",30.7679671458,21,1950,"4-6 6-4 7-5",3,"R32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text value here",26,0,"small",0
